page,runes,best_key_length,best_ioc,best_is_prime,best_prime_key_length,best_prime_ioc
6,188,115,0.08219178,0,103,0.07058824
7,201,106,0.08421053,0,131,0.05714286
8,247,125,0.09836066,0,109,0.07951070
9,259,129,0.06976744,0,67,0.06218905
10,258,120,0.07500000,0,83,0.04618474
11,268,139,0.09302326,1,139,0.09302326
12,255,121,0.06060606,0,149,0.05660377
13,263,105,0.06666667,0,59,0.04915254
14,135,118,0.17647059,0,113,0.13636364
15,157,124,0.15151515,0,149,0.12500000
16,255,146,0.07339450,0,137,0.05932203
17,263,125,0.06400000,0,71,0.05633803
18,253,141,0.07142857,0,137,0.06034483
19,255,150,0.06666667,0,107,0.05295950
20,258,122,0.06557377,0,97,0.06185567
21,263,146,0.07692308,0,101,0.07260726
22,123,118,0.20000000,0,103,0.15000000
23,207,134,0.09589041,0,67,0.05970149
24,265,100,0.08000000,0,139,0.07142857
25,265,135,0.10769231,0,113,0.07079646
26,257,150,0.07476636,0,83,0.05622490
27,229,97,0.07903780,1,97,0.07903780
28,254,98,0.08163265,0,97,0.05498282
29,263,146,0.06837607,0,43,0.05160576
30,261,147,0.07017544,0,103,0.06148867
31,257,146,0.07207207,0,131,0.05555556
32,118,83,0.11428571,1,83,0.11428571
33,204,108,0.09375000,0,71,0.07042254
34,253,84,0.07142857,0,139,0.07017544
35,262,129,0.08527132,0,139,0.04878049
36,229,138,0.08791209,0,71,0.05633803
37,220,82,0.07317073,0,41,0.06585366
38,221,148,0.08219178,0,113,0.06481481
39,236,129,0.07476636,0,113,0.06194690
40,224,138,0.08139535,0,107,0.04672897
41,261,114,0.06140351,0,139,0.05737705
42,260,142,0.07627119,0,89,0.05992509
43,263,139,0.08064516,1,139,0.08064516
44,259,123,0.06775068,0,139,0.05000000
45,257,122,0.07650273,0,97,0.05498282
46,261,136,0.08800000,0,89,0.06741573
47,267,108,0.07098765,0,109,0.06422018
48,261,131,0.06923077,1,131,0.06923077
49,63,54,0.22222222,0,41,0.09090909
50,87,80,0.28571429,0,83,0.25000000
51,256,110,0.06060606,0,127,0.04986877
52,169,140,0.13793103,0,79,0.06751055
53,223,116,0.09345794,0,107,0.06230530
54,75,71,0.25000000,1,71,0.25000000
55,82,79,0.33333333,1,79,0.33333333
56,95,55,0.20000000,0,83,0.16666667
57,95,55,0.20000000,0,83,0.16666667
